"BrandID"|"BrandName"|"BrandOEMFlag"|"BrandOwnerID"|"BrandOwner"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"GNDX"|"TrakMotive"|"False"|"CLPX"|"Wonh Industries"|"CLPL"|"Wonh Industries"|""|""|"Aug 01, 2018"
"GNFD"|"GreenLite"|"False"|"GNFC"|"GreenLite Inc"|"GNFB"|"GreenLite Inc"|""|""|"Dec 15, 2015"
"GNFH"|"ATC Truck Covers"|"False"|"GNFG"|"ATC Truck Covers"|"GNFF"|"ATC Truck Covers"|"GNFJ"|"ATC Bed Systems"|"Dec 15, 2015"
"GNFH"|"ATC Truck Covers"|"False"|"GNFG"|"ATC Truck Covers"|"GNFF"|"ATC Truck Covers"|"GNFK"|"StorMate Dock Boxes"|"Dec 15, 2015"
"GNFH"|"ATC Truck Covers"|"False"|"GNFG"|"ATC Truck Covers"|"GNFF"|"ATC Truck Covers"|"GNFL"|"ATC Truck Covers"|"Dec 15, 2015"
"GNFM"|"GDW"|"False"|"CPMX"|"Dana Incorporated"|"BGMG"|"Dana Incorporated"|""|""|"Dec 15, 2015"
"GNFN"|"Glaser"|"False"|"CPMX"|"Dana Incorporated"|"BGMG"|"Dana Incorporated"|""|""|"Jan 03, 2018"
"GNFV"|"Accu-Drive"|"False"|"GNFT"|"Accu-Drive Inc"|"GNFS"|"Accu-Drive Inc"|""|""|"Dec 15, 2015"
"GNGJ"|"PULips"|"False"|"GJHF"|"PerformanceJDM LLC"|"GGMJ"|"PerformanceJDM LLC"|""|""|"Dec 15, 2015"
"GNGL"|"OMC Offroad"|"False"|"GNGK"|"OMC Offroad"|"GNFQ"|"OMC Offroad"|""|""|"Dec 16, 2015"
"GNGN"|"Transtar Autobody Technologies, Inc."|"False"|"FLHX"|"Transtar Holding Company"|"FKFP"|"Transtar Holding Company"|""|""|"Sep 26, 2016"
"GNGR"|"Premier Quality Products"|"False"|"GNGQ"|"Premier Quality Products"|"GNGP"|"Premier Quality Products"|""|""|"Dec 16, 2015"
"GNGS"|"Premium 48 State Catalytic Converter"|"False"|"BLGR"|"1-800-Radiator & A/C"|"BLGQ"|"1-800-Radiator & A/C"|""|""|"Jan 17, 2019"
"GNGT"|"Ecklers Classic Chevy"|"False"|"GHPF"|"Ecklers Industries"|"GHPG"|"Ecklers Industries"|""|""|"Dec 16, 2015"
"GNGX"|"Allied Motor Parts"|"False"|"GNGW"|"Allied Motor Parts"|"GNGV"|"Allied Motor Parts"|""|""|"Dec 17, 2015"
"GNHF"|"Clover Patch"|"False"|"GNHD"|"Clover Patch Inc"|"GNHC"|"Clover Patch Inc"|""|""|"Dec 18, 2015"
"GNHJ"|"The Max"|"False"|"GNHH"|"Forrest Tool Co Inc"|"GNHG"|"Forrest Tool Co Inc"|""|""|"Dec 18, 2015"
